,City,City ID,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Avarua,4035715,93,CK,1563682497,68,-21.21,-159.78,71.6,10.29
1,Burla,1508636,0,RU,1563682498,56,53.34,78.33,74.75,5.99
2,Mandalgovi,2030065,92,MN,1563682498,27,45.76,106.27,80.33,7.81
3,Ushuaia,3833367,0,AR,1563682221,69,-54.81,-68.31,33.8,5.82
4,East London,1006984,0,ZA,1563682499,70,-33.02,27.91,46.4,8.05
5,Winnemucca,5710360,1,US,1563682499,19,40.97,-117.74,86.0,6.93
6,Lithgow,2160053,0,AU,1563682499,25,-33.48,150.16,75.2,13.87
7,Rikitea,4030556,0,PF,1563682500,51,-23.12,-134.97,67.55,7.81
8,Hobart,2163355,20,AU,1563682221,41,-42.88,147.33,59.0,27.51
9,Tura,2014833,67,RU,1563682500,36,64.27,100.22,67.37,9.78
10,Padang,1633419,100,ID,1563682501,73,-0.92,100.36,81.95,3.58
11,Berlevag,780687,0,NO,1563682501,83,70.86,29.09,50.09,3.31
12,Robertsport,2274275,70,LR,1563682501,91,6.75,-11.37,75.65,6.82
13,Mataura,6201424,58,NZ,1563682502,96,-46.19,168.86,51.01,1.99
14,Sao Filipe,3374210,100,CV,1563682502,79,14.9,-24.5,72.77,12.68
15,Atuona,4020109,0,PF,1563682503,75,-9.8,-139.03,79.97,10.22
16,Port Elizabeth,4501427,1,US,1563682503,88,39.31,-74.98,86.0,3.36
17,Butaritari,2110227,57,KI,1563682504,67,3.07,172.79,83.93,5.91
18,Kodinar,1266397,76,IN,1563682504,65,20.79,70.7,85.73,7.47
19,Saint Anthony,5606187,1,US,1563682504,58,43.97,-111.68,75.2,6.93
20,Hilo,5855927,1,US,1563682505,58,19.71,-155.08,82.4,9.17
21,Bambous Virieux,1106677,20,MU,1563682505,93,-20.34,57.76,71.01,3.36
22,Hermanus,3366880,89,ZA,1563682505,79,-34.42,19.24,45.0,5.01
23,Kozhva,543246,0,RU,1563682506,68,65.11,57.05,64.49,2.64
24,Saint-Philippe,6138908,1,CA,1563682506,74,45.36,-73.48,81.0,11.41
25,Vaini,1273574,75,IN,1563682506,94,15.34,74.49,75.2,6.93
26,Barrow,3833859,100,AR,1563682507,88,-38.31,-60.23,61.97,13.78
27,Sinnamary,3380290,83,GF,1563682507,81,5.38,-52.96,81.05,14.97
